"","GS","ar1","ma1","lat","long","loglike","phi","phylum","kingdom","maxh"
"1","Acartia danae",0.529127930347474,0.999368835183746,-43,148,0.310671601200312,0.522009139760279,"Arthropoda","Metazoa",NA
"2","Acartia danae",0.306287042714595,0.146027052638594,-34,151,0.310671601200312,-0.116071626633487,"Arthropoda","Metazoa",NA
"3","Acartia sp",-0.102389531707968,-0.0665514704547709,-27,154,0.310671601200312,-0.367850751532192,NA,NA,NA
"4","Acartia tranteri",0.573438343921397,0.999999502430369,-43,148,0.310671601200312,-0.780828170542278,NA,NA,NA
"5","Achillea millefolium",0.892514704126932,0.990258221631526,39,-97,22.7595410667896,0.0842645389433218,"Streptophyta","Viridiplantae",0.45
"6","Acleris bergmanniana",-0.929729130122994,-0.999981330124219,56,13,0.310671601200312,0.617662386193344,"Arthropoda","Metazoa",NA
"7","Acleris forskaleana",0.56568467831735,0.999647273474543,56,13,0.310671601200312,0.543216305938577,NA,NA,NA
"8","Acrocalanus gibber",0.515950201731603,0.302036066649694,-34,151,0.310671601200312,0.330265793696959,"Arthropoda","Metazoa",NA
"9","Acronicta aceris",0.302717055838993,0.382849061337777,56,13,0.310671601200312,0.431412597701963,"Arthropoda","Metazoa",NA
"10","Acronicta megacephala",0.434791039915729,0.571354911839852,56,13,0.310671601200312,0.573547118915108,"Arthropoda","Metazoa",NA
"11","Acronicta psi",0.0616539347630296,0.072910640111255,56,13,0.310671601200312,0.225683005678619,"Arthropoda","Metazoa",NA
"12","Actinopterygii ",0.655740001201492,0.692812204363324,-34,151,0.310671601200312,0.645443569952692,"Chordata","Metazoa",NA
"13","Actitis hypoleucos",4.99811303455999e-08,0,35,135,0.310671601200312,-0.559711554610034,"Chordata","Metazoa",NA
"14","Actitis hypoleucos",1.15666809463732e-07,0,26,128,0.310671601200312,0.542970424814074,"Chordata","Metazoa",NA
"15","Adalia bipunctata",0.900040533556715,0.999996083149347,42,-85,0.310671601200312,0.0578899824898159,"Arthropoda","Metazoa",NA
"16","Adalia bipunctata",-0.732839767989425,-0.998981849034879,42,-85,0.310671601200312,0.670313124225109,"Arthropoda","Metazoa",NA
